len, probab
#
  1., 0.
  2., 0.01907
  3., 0.03723
  4., 0.04824
  5., 0.05502
  6., 0.05761
  7., 0.05636
  8., 0.05274
  9., 0.04844
 10., 0.04348
 11., 0.03786
 12., 0.03252
 13., 0.02816
 14., 0.02458
 15., 0.02135
 16., 0.01862
 17., 0.01622
 18., 0.01441
 19., 0.01261
 20., 0.01134
 21., 0.00969
 22., 0.00856
 23., 0.00798
 24., 0.00693
 25., 0.00624
 26., 0.00585
 27., 0.00543
 28., 0.00525
 29., 0.00469
 30., 0.00456
 31., 0.00446
 32., 0.00438
 33., 0.00438
 34., 0.00422
 35., 0.00424
 36., 0.00427
 37., 0.00434
 38., 0.00474
 39., 0.00498
 40., 0.00515
 41., 0.00507
 42., 0.00504
 43., 0.00519
 44., 0.00551
 45., 0.00575
 46., 0.00589
 47., 0.00577
 48., 0.00603
 49., 0.00625
 50., 0.00573
 51., 0.00587
 52., 0.00635
 53., 0.00624
 54., 0.00603
 55., 0.00611
 56., 0.00607
 57., 0.00624
 58., 0.00622
 59., 0.00591
 60., 0.00589
 61., 0.00588
 62., 0.00563
 63., 0.00551
 64., 0.00556
 65., 0.00528
 66., 0.00525
 67., 0.00477
 68., 0.00472
 69., 0.00477
 70., 0.00456
 71., 0.00422
 72., 0.0041
 73., 0.00388
 74., 0.00378
 75., 0.00369
 76., 0.00322
 77., 0.00329
 78., 0.00298
 79., 0.00267
 80., 0.0025
 81., 0.00258
 82., 0.00202
 83., 0.00196
 84., 0.00175
 85., 0.00187
 86., 0.00176
 87., 0.00146
 88., 0.00132
 89., 0.00138
 90., 0.00112
 91., 0.00106
 92., 0.00102
 93., 0.00078257
 94., 0.00079114
 95., 0.00061229
 96., 0.00055714
 97., 0.00054857
 98., 0.00042943
 99., 0.00036143
100., 0.00035714
101., 0.00030629
102., 0.00025091
103., 0.00025091
104., 0.0002084
105., 0.00015311
106., 0.00013609
107., 0.00008931
108., 0.00009357
109., 0.00011909
110., 0.00007229
111., 0.00007229
112., 0.00004251
113., 0.00003403
114., 0.00002977
115., 0.00003403
116., 0.00002126
117., 0.00002126
118., 0.00002126
119., 0.00002126
120., 0.
121., 0.00001276
122., 0.
123., 0.00000425
124., 0.
125., 0.00000425
126., 0.00000851
127., 0.
128., 0.00000425
129., 0.
130., 0.00000425
131., 0.00001276
132., 0.
