T, e16, e32, e48, e64, e96, e128, e256, e512
        2,         1,         1,         1,         1,         1,         1,         1,         1
        5,         1,         1,         1,         1,         1,         1,         1,         1
        8,         1,         1,         1,         1,         1,         1,         1,         1
       11,         1,         1,         1,         1,         1,         1,         1,         1
       14,         1,         1,         1,         1,         1,         1,         1,         1
       17,         1,         1,         1,         1,         1,         1,         1,         1
       20,     0.999,         1,         1,         1,     0.999,     0.998,     0.999,     0.999
       23,     0.998,     0.998,     0.987,     0.974,     0.963,     0.992,     0.991,     0.995
       26,     0.996,      0.99,      0.96,     0.938,     0.942,     0.914,     0.945,      0.98
       29,     0.992,     0.973,     0.928,     0.905,      0.85,     0.804,     0.782,     0.857
       32,     0.985,     0.943,     0.889,     0.839,     0.701,     0.678,     0.561,     0.639
       35,     0.975,     0.908,     0.832,      0.74,     0.627,     0.548,     0.416,     0.437
       38,     0.959,     0.862,     0.763,     0.654,     0.549,     0.464,     0.345,     0.292
       41,      0.94,     0.811,     0.692,     0.595,     0.479,     0.409,     0.296,     0.228
       44,     0.918,     0.762,     0.625,     0.539,     0.435,     0.377,     0.263,     0.199
       47,     0.893,     0.713,     0.576,     0.491,     0.399,     0.342,     0.242,     0.177
       50,     0.866,     0.666,     0.535,     0.456,     0.369,     0.314,     0.223,     0.162
       53,     0.838,     0.625,       0.5,     0.427,     0.344,     0.293,     0.208,     0.147
       56,     0.809,      0.59,      0.47,     0.402,     0.323,     0.278,     0.196,     0.138
       59,     0.782,     0.559,     0.444,     0.381,     0.307,     0.265,     0.185,     0.131
       62,     0.755,     0.531,     0.423,     0.363,     0.293,     0.253,     0.177,     0.125
       65,     0.729,     0.507,     0.405,     0.347,      0.28,     0.242,      0.17,      0.12
       68,     0.705,     0.486,     0.388,     0.333,     0.269,     0.233,     0.163,     0.115
       71,     0.682,     0.467,     0.373,     0.321,      0.26,     0.224,     0.158,     0.112
       74,     0.661,     0.451,     0.361,     0.311,     0.252,     0.217,     0.153,     0.108
       77,     0.641,     0.436,      0.35,     0.301,     0.244,      0.21,     0.148,     0.104
       80,     0.623,     0.423,      0.34,     0.292,     0.237,     0.204,     0.144,     0.102
       83,     0.607,     0.411,     0.331,     0.285,     0.231,     0.199,      0.14,    0.0992
       86,     0.591,     0.401,     0.323,     0.277,     0.225,     0.194,     0.137,    0.0968
       89,     0.577,     0.391,     0.315,     0.271,      0.22,      0.19,     0.134,    0.0946
       92,     0.564,     0.383,     0.308,     0.265,     0.215,     0.186,     0.131,    0.0925
       95,     0.552,     0.375,     0.302,      0.26,     0.211,     0.183,     0.128,    0.0907
       98,     0.541,     0.367,     0.296,     0.255,     0.207,     0.179,     0.126,    0.0892
      101,      0.53,     0.361,     0.291,     0.251,     0.204,     0.176,     0.124,    0.0878
      104,      0.52,     0.354,     0.286,     0.246,       0.2,     0.173,     0.122,    0.0862
      107,     0.511,     0.348,     0.281,     0.242,     0.197,      0.17,      0.12,    0.0848
      110,     0.503,     0.343,     0.277,     0.239,     0.194,     0.168,     0.118,    0.0836
      113,     0.495,     0.338,     0.273,     0.235,     0.191,     0.165,     0.116,    0.0824
      116,     0.488,     0.333,     0.269,     0.232,     0.189,     0.163,     0.115,    0.0812
      119,     0.481,     0.329,     0.266,     0.229,     0.186,     0.161,     0.113,    0.0802
      122,     0.474,     0.325,     0.263,     0.226,     0.184,     0.159,     0.112,    0.0792
      125,     0.468,     0.321,     0.259,     0.224,     0.182,     0.157,     0.111,    0.0782
      128,     0.462,     0.317,     0.256,     0.221,      0.18,     0.155,      0.11,    0.0774
      131,     0.457,     0.313,     0.254,     0.219,     0.178,     0.154,     0.108,    0.0766
      134,     0.452,      0.31,     0.251,     0.217,     0.176,     0.152,     0.107,    0.0759
      137,     0.447,     0.307,     0.249,     0.214,     0.174,     0.151,     0.106,    0.0752
      140,     0.442,     0.304,     0.246,     0.212,     0.173,     0.149,     0.105,    0.0744
      143,     0.438,     0.301,     0.244,     0.211,     0.171,     0.148,     0.104,    0.0738
      146,     0.434,     0.299,     0.242,     0.209,      0.17,     0.147,     0.103,    0.0731
      149,      0.43,     0.296,      0.24,     0.207,     0.168,     0.146,     0.103,    0.0725
      152,     0.426,     0.294,     0.238,     0.205,     0.167,     0.144,     0.102,    0.0719
      155,     0.423,     0.291,     0.236,     0.204,     0.166,     0.143,     0.101,    0.0713
      158,     0.419,     0.289,     0.234,     0.202,     0.164,     0.142,       0.1,    0.0708
      161,     0.416,     0.287,     0.233,     0.201,     0.163,     0.141,    0.0996,    0.0704
      164,     0.413,     0.285,     0.231,     0.199,     0.162,      0.14,     0.099,    0.0699
      167,      0.41,     0.283,     0.229,     0.198,     0.161,     0.139,    0.0983,    0.0694
      170,     0.407,     0.281,     0.228,     0.197,      0.16,     0.138,    0.0977,     0.069
      173,     0.405,     0.279,     0.226,     0.195,     0.159,     0.137,    0.0971,    0.0686
      176,     0.402,     0.278,     0.225,     0.194,     0.158,     0.137,    0.0964,    0.0681
      179,     0.399,     0.276,     0.224,     0.193,     0.157,     0.136,    0.0959,    0.0677
      182,     0.397,     0.274,     0.222,     0.192,     0.156,     0.135,    0.0953,    0.0674
      185,     0.394,     0.273,     0.221,     0.191,     0.155,     0.134,    0.0948,     0.067
      188,     0.392,     0.271,      0.22,      0.19,     0.155,     0.134,    0.0943,    0.0666
      191,      0.39,      0.27,     0.219,     0.189,     0.154,     0.133,    0.0939,    0.0663
      194,     0.388,     0.269,     0.218,     0.188,     0.153,     0.132,    0.0934,     0.066
      197,     0.386,     0.267,     0.217,     0.187,     0.152,     0.132,     0.093,    0.0657
